Time,Time2,LAT,LONG,TEMP1C,TEMP1F
16:08:20,08:20.3,44.47223333,-73.19747,26,78.8
16:08:21,08:21.3,44.47223333,-73.19747,23.5,74.3
16:08:22,08:22.3,44.47223333,-73.19747,23.5,74.3
16:08:23,08:23.3,44.47223333,-73.19746833,21.5,70.7
16:08:24,08:24.3,44.472235,-73.19746833,24.75,76.55
16:08:25,08:25.3,44.472235,-73.19746667,24.25,75.65
16:08:26,08:26.3,44.47223667,-73.19746667,24.5,76.1
16:08:27,08:27.3,44.47223833,-73.19746667,23.75,74.75
16:08:28,08:28.3,44.47223833,-73.19746667,24.25,75.65
16:08:29,08:29.3,44.47224,-73.19746667,24.5,76.1
16:08:30,08:30.3,44.47224167,-73.19746667,22.75,72.95
16:08:31,08:31.3,44.472245,-73.19746667,25.75,78.35
16:08:32,08:32.3,44.47224667,-73.19746667,26,78.8
16:08:33,08:33.3,44.47224833,-73.19746833,23.5,74.3
16:08:34,08:34.3,44.47225,-73.19746833,25,77
16:08:35,08:35.3,44.47225167,-73.19746833,22.75,72.95
16:08:36,08:36.3,44.47225167,-73.19746833,25.25,77.45
16:08:37,08:37.3,44.47225333,-73.19746667,24.75,76.55
16:08:38,08:38.3,44.47225333,-73.19746667,26.75,80.15
16:08:39,08:39.3,44.472255,-73.19746667,26.25,79.25
16:08:40,08:40.3,44.472255,-73.19746667,26,78.8
16:08:41,08:41.3,44.472255,-73.19746667,27,80.6
16:08:42,08:42.3,44.472255,-73.19746667,26.75,80.15
16:08:43,08:43.3,44.472255,-73.197465,26,78.8
16:08:44,08:44.3,44.472255,-73.197465,27,80.6
16:08:45,08:45.3,44.472255,-73.19746333,27,80.6
16:08:46,08:46.3,44.472255,-73.19746167,27,80.6
16:08:47,08:47.3,44.47225333,-73.19746167,27,80.6
16:08:48,08:48.3,44.47225333,-73.19746167,27,80.6
16:08:49,08:49.3,44.47225333,-73.19746167,27.25,81.05
16:08:50,08:50.3,44.47225167,-73.19746167,27,80.6
16:08:51,08:51.3,44.47225167,-73.19746167,27,80.6
16:08:52,08:52.3,44.47225,-73.19746167,27,80.6
16:08:53,08:53.3,44.47225,-73.19746167,27,80.6
16:08:54,08:54.3,44.47224833,-73.19746333,27.25,81.05
16:08:55,08:55.3,44.47224667,-73.197465,27.25,81.05
16:08:56,08:56.3,44.47224667,-73.197465,27.25,81.05
16:08:57,08:57.3,44.472245,-73.19746667,27.25,81.05
16:08:58,08:58.3,44.47224167,-73.19746833,27.25,81.05
16:08:59,08:59.3,44.47224,-73.19747,27,80.6
16:09:00,09:00.3,44.47224,-73.19747167,27,80.6
16:09:01,09:01.3,44.47223833,-73.19747167,26.75,80.15
16:09:02,09:02.3,44.47223667,-73.19747333,27.25,81.05
16:09:03,09:03.3,44.472235,-73.197475,27,80.6
16:09:04,09:04.3,44.472235,-73.197475,27,80.6
16:09:05,09:05.3,44.47223333,-73.197475,27,80.6
16:09:06,09:06.3,44.47223333,-73.19747667,26.5,79.7
16:09:07,09:07.3,44.47223167,-73.19747833,26.75,80.15
16:09:08,09:08.3,44.47223167,-73.19748,26.75,80.15
16:09:09,09:09.3,44.47223167,-73.19748,27,80.6
16:09:10,09:10.3,44.47223,-73.19748167,27,80.6
16:09:11,09:11.3,44.47223,-73.19748333,27,80.6
16:09:12,09:12.3,44.47222833,-73.19748333,27,80.6
16:09:13,09:13.3,44.47222667,-73.197485,27.25,81.05
16:09:14,09:14.3,44.47222667,-73.197485,26.5,79.7
16:09:15,09:15.3,44.472225,-73.19748667,26.5,79.7
16:09:16,09:16.3,44.472225,-73.19748833,26.75,80.15
16:09:17,09:17.3,44.47222333,-73.19749,27,80.6
16:09:18,09:18.3,44.47222333,-73.19749167,26.5,79.7
16:09:19,09:19.3,44.47222167,-73.19749333,27,80.6
16:09:20,09:20.3,44.47222167,-73.197495,27,80.6
16:09:21,09:21.3,44.47222167,-73.197495,27,80.6
16:09:22,09:22.3,44.47222167,-73.19749667,26.5,79.7
16:09:23,09:23.3,44.47222333,-73.19749833,27.25,81.05
16:09:24,09:24.3,44.472225,-73.19749833,26.75,80.15
16:09:25,09:25.3,44.472225,-73.19749833,27,80.6
16:09:26,09:26.3,44.47222667,-73.19749833,27.25,81.05
16:09:27,09:27.3,44.47222667,-73.19749833,26.75,80.15
16:09:28,09:28.3,44.47222833,-73.19749833,26,78.8
16:09:29,09:29.3,44.47222833,-73.19749833,27,80.6
16:09:30,09:30.3,44.47222833,-73.1975,27,80.6
16:09:31,09:31.3,44.47222667,-73.1975,27,80.6
16:09:32,09:32.3,44.47222667,-73.1975,27,80.6
16:09:33,09:33.3,44.47222667,-73.1975,27,80.6
16:09:34,09:34.3,44.47222667,-73.1975,27,80.6
16:09:35,09:35.3,44.47222667,-73.19750167,27.25,81.05
16:09:36,09:36.3,44.47222833,-73.19750167,27,80.6
16:09:37,09:37.3,44.47222833,-73.19750333,25.75,78.35
16:09:38,09:38.3,44.47222833,-73.19750333,26.75,80.15
16:09:39,09:39.3,44.47222667,-73.197505,27.5,81.5
16:09:40,09:40.3,44.47222667,-73.197505,27,80.6
16:09:41,09:41.3,44.47222667,-73.19750667,24,75.2
