Time,Time2,LAT,LONG,TEMP1C,TEMP1F
16:43:00,43:00.3,44.480585,-73.205515,28.5,83.3
16:43:01,43:01.3,44.48058667,-73.20552333,28.5,83.3
16:43:02,43:02.3,44.48058833,-73.20553,28.5,83.3
16:43:03,43:03.3,44.48058833,-73.205535,28.5,83.3
16:43:04,43:04.3,44.48059,-73.20554,28.5,83.3
16:43:05,43:05.3,44.48059,-73.20553833,28.5,83.3
16:43:06,43:06.3,44.48058833,-73.20554,28.25,82.85
16:43:07,43:07.3,44.48058833,-73.20554167,28.25,82.85
16:43:08,43:08.3,44.48058833,-73.20554167,28.5,83.3
16:43:09,43:09.3,44.48058667,-73.20554167,28.5,83.3
16:43:10,43:10.3,44.48058667,-73.20554333,28.5,83.3
16:43:11,43:11.3,44.480585,-73.20554333,28.5,83.3
16:43:12,43:12.3,44.48059167,-73.20554833,28.5,83.3
16:43:13,43:13.3,44.48059333,-73.20555167,28.5,83.3
16:43:14,43:14.3,44.48059333,-73.20555667,27.25,81.05
16:43:15,43:15.3,44.480595,-73.20555833,28.5,83.3
16:43:16,43:16.3,44.48059667,-73.20556167,28.75,83.75
16:43:17,43:17.3,44.48059667,-73.20556333,28.75,83.75
16:43:18,43:18.3,44.48059833,-73.205565,28.75,83.75
16:43:19,43:19.3,44.48060167,-73.20557167,28.75,83.75
16:43:20,43:20.3,44.48060833,-73.20557667,28.75,83.75
16:43:21,43:21.3,44.48061333,-73.20558333,28.75,83.75
16:43:22,43:22.3,44.48061833,-73.20558667,27,80.6
16:43:23,43:23.3,44.48062,-73.20558333,28.75,83.75
16:43:24,43:24.3,44.48062,-73.20557833,28.75,83.75
16:43:25,43:25.3,44.48061833,-73.20558,28.75,83.75
16:43:26,43:26.3,44.48061833,-73.20557833,28.75,83.75
16:43:27,43:27.3,44.48061667,-73.20557667,28.75,83.75
16:43:28,43:28.3,44.48061667,-73.20557333,28.75,83.75
16:43:29,43:29.3,44.48061667,-73.20556,28.75,83.75
16:43:30,43:30.3,44.48062,-73.205545,28.5,83.3
16:43:31,43:31.3,44.48061667,-73.205525,28.5,83.3
16:43:32,43:32.3,44.48062,-73.20550833,28.5,83.3
16:43:33,43:33.3,44.48062167,-73.20549333,28.5,83.3
16:43:34,43:34.3,44.48062,-73.20548,28.5,83.3
16:43:35,43:35.3,44.48061667,-73.205465,28.5,83.3
16:43:36,43:36.3,44.48061833,-73.20544667,28.25,82.85
16:43:37,43:37.3,44.48061833,-73.20543,28.5,83.3
16:43:38,43:38.3,44.48061667,-73.20541167,28.5,83.3
16:43:39,43:39.3,44.48061833,-73.20539667,28.5,83.3
16:43:40,43:40.3,44.48061667,-73.20538167,28.5,83.3
16:43:41,43:41.3,44.480615,-73.20536833,28.5,83.3
16:43:42,43:42.3,44.48061667,-73.20535667,28.5,83.3
16:43:43,43:43.3,44.480615,-73.20534667,28.5,83.3
16:43:44,43:44.3,44.48061667,-73.20533333,28.25,82.85
16:43:45,43:45.3,44.480615,-73.20532,28.25,82.85
16:43:46,43:46.3,44.48061833,-73.20531,28.25,82.85
16:43:47,43:47.3,44.48062,-73.20529333,28.25,82.85
16:43:48,43:48.3,44.48062167,-73.20528,28,82.4
16:43:49,43:49.3,44.48062333,-73.20526167,28.25,82.85
16:43:50,43:50.3,44.48062667,-73.20524667,28,82.4
16:43:51,43:51.3,44.48063,-73.20523167,28,82.4
16:43:52,43:52.3,44.48063,-73.20521167,28,82.4
16:43:53,43:53.3,44.48062667,-73.20519167,27.5,81.5
16:43:54,43:54.3,44.480625,-73.205175,28.25,82.85
16:43:55,43:55.3,44.48062167,-73.20515667,28.25,82.85
16:43:56,43:56.3,44.48061833,-73.20514,28.25,82.85
16:43:57,43:57.3,44.48061833,-73.20512,28.25,82.85
16:43:58,43:58.3,44.48062167,-73.20510167,28.25,82.85
16:43:59,43:59.3,44.48061833,-73.20508333,28.25,82.85
16:44:00,44:00.3,44.48061667,-73.20506833,28.25,82.85
16:44:01,44:01.3,44.48061333,-73.20505333,28.25,82.85
16:44:02,44:02.3,44.480615,-73.20503667,28.25,82.85
16:44:03,44:03.3,44.48061667,-73.20502167,28.5,83.3
16:44:04,44:04.3,44.48062,-73.20500833,28.25,82.85
16:44:05,44:05.3,44.480625,-73.204995,28.5,83.3
16:44:06,44:06.3,44.48062333,-73.204975,28,82.4
16:44:07,44:07.3,44.48062333,-73.20495667,28.25,82.85
16:44:08,44:08.3,44.48062667,-73.20493833,28.25,82.85
16:44:09,44:09.3,44.480625,-73.20491833,28.25,82.85
16:44:10,44:10.3,44.480625,-73.20489833,28.25,82.85
16:44:11,44:11.3,44.480625,-73.20488,28.5,83.3
16:44:12,44:12.3,44.480625,-73.20486167,28.5,83.3
16:44:13,44:13.3,44.480625,-73.204845,28.5,83.3
16:44:14,44:14.3,44.48063,-73.20482833,27.25,81.05
16:44:15,44:15.3,44.48063,-73.20481333,28.75,83.75
16:44:16,44:16.3,44.48063,-73.20479667,28.75,83.75
16:44:17,44:17.3,44.48063,-73.20478,28.75,83.75
16:44:18,44:18.3,44.48063167,-73.20476333,28.75,83.75
16:44:19,44:19.3,44.48063,-73.20474833,29,84.2
16:44:20,44:20.3,44.48063333,-73.20474167,29,84.2
16:44:21,44:21.3,44.48064,-73.20473667,29,84.2
16:44:22,44:22.3,44.48064333,-73.20473,26,78.8
16:44:23,44:23.3,44.480655,-73.20472,28.5,83.3
16:44:24,44:24.3,44.48066,-73.20470667,28.5,83.3
16:44:25,44:25.3,44.48066833,-73.20469,28.5,83.3
16:44:26,44:26.3,44.48067167,-73.20467,28.25,82.85
16:44:27,44:27.3,44.480665,-73.20464167,28.5,83.3
16:44:28,44:28.3,44.48066333,-73.204615,28.5,83.3
16:44:29,44:29.3,44.480665,-73.20459667,28.5,83.3
16:44:30,44:30.3,44.48066333,-73.20458,28.75,83.75
16:44:31,44:31.3,44.48066,-73.20456,28.75,83.75
16:44:32,44:32.3,44.48065667,-73.20453833,28.75,83.75
16:44:33,44:33.3,44.480655,-73.20452167,28.75,83.75
16:44:34,44:34.3,44.48065833,-73.20450333,28.75,83.75
16:44:35,44:35.3,44.48065833,-73.20448667,28.75,83.75
16:44:36,44:36.3,44.48066167,-73.20447,28.75,83.75
16:44:37,44:37.3,44.480665,-73.204455,28.75,83.75
16:44:38,44:38.3,44.48066667,-73.20443833,28.75,83.75
16:44:39,44:39.3,44.48066333,-73.20442167,28.75,83.75
16:44:40,44:40.3,44.48065833,-73.20440333,28.75,83.75
16:44:41,44:41.3,44.480665,-73.20439167,28.75,83.75
16:44:42,44:42.3,44.480665,-73.20437667,28.5,83.3
